Product Name,Product Price,Product Description,Product Reviews
"Motorola Edge 50 Ultra 5G (Forest Grey, 512 GB)","49,999",12 GB RAM | 512 GB ROM17.02 cm (6.7 inch) Display50MP + 50MP + 64MP | 50MP Front Camera4500 mAh Battery8s Gen 3 Mobile Platform Processor1 Year on Handset and 6 Months on Accessories,4.4
"Motorola Edge 50 Ultra 5G (Peach Fuzz, 512 GB)","49,999",12 GB RAM | 512 GB ROM17.02 cm (6.7 inch) Display50MP + 50MP + 64MP | 50MP Front Camera4500 mAh Battery8s Gen 3 Mobile Platform Processor1 Year on Handset and 6 Months on Accessories,4.4
"SAMSUNG Galaxy A55 5G (Awesome Navy, 256 GB)","45,999",12 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 12MP + 5MP | 32MP Front Camera5000 mAh BatterySamsung Exynos 1480 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.3
"Motorola Edge 50 Ultra 5G (Nordic Wood, 512 GB)","49,999",12 GB RAM | 512 GB ROM17.02 cm (6.7 inch) Display50MP + 50MP + 64MP | 50MP Front Camera4500 mAh Battery8s Gen 3 Mobile Platform Processor1 Year on Handset and 6 Months on Accessories,4.4
"Google Pixel 8 (Hazel, 256 GB)","49,999",8 GB RAM | 256 GB ROM15.75 cm (6.2 inch) Full HD+ Display50MP + 12MP | 10.5MP Front Camera4575 mAh BatteryTensor G3 Processor1 Year Domestic Warranty,4.4
"Google Pixel 8 (Mint, 128 GB)","47,999",8 GB RAM | 128 GB ROM15.75 cm (6.2 inch) Full HD+ Display50MP + 12MP | 10.5MP Front Camera4575 mAh BatteryTensor G3 Processor1 Year Domestic Warranty,4.4
"Google Pixel 8 (Obsidian, 128 GB)","47,999",8 GB RAM | 128 GB ROM15.75 cm (6.2 inch) Full HD+ Display50MP + 12MP | 10.5MP Front Camera4575 mAh BatteryTensor G3 Processor1 Year Domestic Warranty,4.4
"Google Pixel 8 (Hazel, 128 GB)","47,999",8 GB RAM | 128 GB ROM15.75 cm (6.2 inch) Full HD+ Display50MP + 12MP | 10.5MP Front Camera4575 mAh BatteryTensor G3 Processor1 Year Domestic Warranty,4.4
"Google Pixel 8 (Rose, 128 GB)","47,999",8 GB RAM | 128 GB ROM15.75 cm (6.2 inch) Full HD+ Display50MP + 12MP | 10.5MP Front Camera4575 mAh BatteryTensor G3 Processor1 Year Domestic Warranty,4.4
"Infinix Zero Flip 5G (Rock Black, 512 GB)","49,999",8 GB RAM | 512 GB ROM17.53 cm (6.9 inch) Full HD+ Display50MP + 50MP | 50MP Front Camera4720 mAh Lithium-ion Polymer BatteryDimensity 8020 ProcessorStandard 1 Year on Handset and 6 Months on Accessories. Physical and Liquid Damange Not Covered Under The Standard Warranty.,4.5
"Infinix Zero Flip 5G (Blossom Glow, 512 GB)","49,999",8 GB RAM | 512 GB ROM17.53 cm (6.9 inch) Full HD+ Display50MP + 50MP | 50MP Front Camera4720 mAh Lithium-ion Polymer BatteryDimensity 8020 ProcessorStandard 1 Year on Handset and 6 Months on Accessories. Physical and Liquid Damange Not Covered Under The Standard Warranty.,4.5
"vivo V40 Pro 5G (Ganges Blue, 256 GB)","49,999",8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 50MP + 50MP | 50MP Front Camera5500 mAh BatteryDimensity 9200+ Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.5
"vivo V40 Pro 5G (Titanium Grey, 256 GB)","49,999",8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 50MP + 50MP | 50MP Front Camera5500 mAh BatteryDimensity 9200+ Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.5
"vivo X80 Pro (Cosmic Black, 256 GB)","43,890",12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Quad HD Display50MP + 48MP + 12MP + 8MP | 32MP Front Camera4700 mAh Lithium BatteryQualcomm Snapdragon 8 Gen 1 Mobile Platform Processor1 Year on Handset and 6 Months on Accessories,4.3
"SAMSUNG Galaxy A55 5G (Awesome Iceblue, 256 GB)","45,999",12 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 12MP + 5MP | 32MP Front Camera5000 mAh BatterySamsung Exynos 1480 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.3
"Xiaomi 14 CIVI (Panda White, 512 GB)","46,999",12 GB RAM | 512 GB ROM16.64 cm (6.55 inch) Display50MP Rear Camera | 32MP + 32MP Dual Front Camera4700 mAh Battery8s Gen 3 Mobile Platform Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3
"Xiaomi 14 CIVI (Cruise Blue, 512 GB)","45,999",12 GB RAM | 512 GB ROM16.64 cm (6.55 inch) Display50MP Rear Camera | 32MP + 32MP Dual Front Camera4700 mAh Battery8s Gen 3 Mobile Platform Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3
"Xiaomi 14 CIVI (Shadow Black, 512 GB)","45,999",12 GB RAM | 512 GB ROM16.64 cm (6.55 inch) Display50MP Rear Camera | 32MP + 32MP Dual Front Camera4700 mAh Battery8s Gen 3 Mobile Platform Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3
"Xiaomi 14 CIVI (Hot Pink, 512 GB)","46,999",12 GB RAM | 512 GB ROM16.64 cm (6.55 inch) Display50MP Rear Camera | 32MP + 32MP Dual Front Camera4700 mAh Battery8s Gen 3 Mobile Platform Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3
"OnePlus 10T 5G (Moonstone Black, 256 GB)","43,999",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera4800 mAh Battery1 year on phone & 6 months on accessories,4.2
"MOTOROLA razr 40 (Summer Lilac, 256 GB)","48,582",8 GB RAM | 256 GB ROM17.53 cm (6.9 inch) Display64MP Rear Camera4200 mAh BatteryBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,3.9
"OnePlus 11 5G (Eternal Green, 256 GB)","46,990",16 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera5000 mAh Batterydomestic warranty of 12 months on phone & 6 months on accessories,4.5
"Xiaomi 14 CIVI (Matcha Green, 512 GB)","45,999",12 GB RAM | 512 GB ROM16.64 cm (6.55 inch) Display50MP Rear Camera | 32MP + 32MP Dual Front Camera4700 mAh Battery8s Gen 3 Mobile Platform Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3
"OnePlus 10 Pro 5G (Volcanic Black, 128 GB)","42,489",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display48MP Rear Camera5000 mAh Battery1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories,4.2
"Honor 200 Pro 5G (Black, 512 GB)","49,996",12 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Full HD+ Super AMOLED Display50MP + 50MP + 12MP | 50MP Front Camera5200 mAh BatterySnapdragon 8s Gen 3 Processor1 year manufacturer's warranty for handset & 6 months for accessories,3.5
"OnePlus 10 Pro 5G (Volcanic Black, 128 GB)","55,899",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display48MP Rear Camera | 32MP Front Camera5000 mAh Battery1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories,4.2
